cname,iso2,ft,hunm,numt1,numt2,numt3,numt4,numt5,numt6,numt7,numt8,numt9,numt10
France,fr,1,6474231,.2607803150675347,.246839413877513,.1239904537452095,.0374060301064096,.0181200157451889,.0089443748971027,.0032971011510188,.005459560365151,.0061130744848092,.0120573819827709
France,fr,2,6402689,.2645146581887486,.3587384925302479,.2024470856239309,.0645537513695042,.0337527390197657,.0168195500166189,.0129406715940944,.0082795722303843,.0094694884376641,.0153855332546339
France,fr,3,6440641,.140782743155133,.0904181040184835,.1005163927006644,.0917866102728195,.0824781647348157,.1181548072054498,.1243329264506321,.1028714175226511,.0912381491628066,.0830356729465628
France,fr,4,6436636,.0567411017617382,.0536109125400281,.096624544047712,.0987556232789923,.1353775567679613,.1307210109249727,.1417699133462548,.1746579427176354,.2185337162520287,.2448039294589164
France,fr,5,6437522,.0919548591948604,.1091385197688034,.1236709203323085,.1161387718677893,.1215722447239792,.1167953206201483,.106090768442946,.1317014496084783,.1604357483476886,.1755270802848715
France,fr,6,6438460,.0859672754957307,.0582475581743858,.0866278682510017,.0985224269323293,.1124730913540956,.0738294561121759,.0317716420411771,.0232499557383312,.0179477220628971,.0173058894340947
France,fr,7,6438383,.0699440597655536,.0629329333347286,.2013544925109162,.389413973386098,.3937327126804382,.425559372893518,.4705374004621968,.4429824288940174,.3845685090940602,.3633856128033689
France,fr,8,6438980,.0217769492623912,.0142474513442711,.0512781258884015,.0907553262294155,.0951585097495589,.1046970859491245,.1042600292651121,.1060383787494293,.110681217080145,.0863720587554414
France,fr,9,6439313,.0075380381083097,.0058266144115387,.0134901168998552,.0126674865566423,.0073351205634715,.0044790213808892,.0049993919280664,.004759294173922,.0010122197818308,.0021265303420937
Japan,jp,1,9517272,.1359012330424096,.0533535396083635,.0324887819391954,.0106601845995248,.0049349342292386,.0026801193147053,.0003026213051107,.0011486982370365,.007565530204795,.0005351379031982
Japan,jp,2,9472305,.531381681641546,.2675113396369733,.1152654885336926,.0300079506319658,.026206413850201,.0315274661771704,.0079399247558497,.0072683305437784,.001444674640952,.028063342059894
Japan,jp,3,9422083,.020578060603921,.0130819267327224,.0124055370770986,.0242334251642555,.0250961857683008,.0206319260316813,.020287465928678,.0324855198339995,.0389495240686032,.0307475946280696
Japan,jp,4,9498616,.0094613246316802,.0083733579102447,.0261433697835181,.0260607440073375,.0701459309411498,.0715288046434156,.0773567915757332,.0795043216101628,.0752036759613501,.1446764667451226
Japan,jp,5,9461119,.2312203538997309,.4735737500006598,.5159903600934104,.4438650851871473,.3923570774239284,.3709595315793052,.3166634410314957,.4214045629022635,.5341695854897509,.5019619961172372
Japan,jp,6,9413760,.0003313974844893,.0261404167201119,.0126222619775266,.0139623498833935,.0054451275795178,.0010624872527024,0,.0036467314688195,0,.0074826275757344
Japan,jp,7,9460669,.0036962272382254,.0622138961952767,.1029429479659646,.2538032909215406,.2069687528504821,.2727226952885988,.3553061628094166,.3360345728813022,.2074134580766186,.1632130432410878
Japan,jp,8,9469850,.0135845649887909,.0633505783439195,.1170197715303506,.1084314809652269,.1758017207055529,.199781171391665,.1833002507539372,.0978397757092245,.0844635972451443,.118464223990839
Japan,jp,9,9454724,.0538451564692067,.0324013004226532,.0651214810992431,.0889754886396081,.0930439623473714,.029105798320756,.0388432361390088,.0206673812151196,.0507899543127859,.0048554620221235
South Korea,kr,1,5367268,.2518137719226988,.0667576287087701,.0228142930457796,.0122885832633036,.0073226388365719,.003200110841828,.0029876406084228,.0006848781628456,.001997383060894,.0010720649284015
South Korea,kr,2,5358279,.3061598563738572,.1848819369054877,.0866760008235143,.0519414843565124,.0228772528415828,.0201189463918117,.0143617781849291,.0090145430618779,.0078485799805277,.0195216194785205
South Korea,kr,3,5362384,.0820458378452501,.0743300227554407,.0592656176804943,.0610393216031244,.0566213920159375,.0384197664947054,.0340655532271123,.0369251491855889,.0301529704943658,.0269615187275526
South Korea,kr,4,5366770,.0554339749757232,.0958479392357136,.1014282080507476,.1005396169390527,.0969219319647019,.0878607713414282,.0903928134063148,.0933787577949949,.0956113133208465,.1047108540510285
South Korea,kr,5,5359953,.1907244057870783,.245845727704735,.3255704925272043,.3147667964157212,.3274235800201979,.3477116712049989,.3684874197884864,.4065961219124219,.4392836940232139,.4092836419609124
South Korea,kr,6,5369814,.0330564823668205,.0316181744175695,.0200815532792877,.0146613326078815,.0115696910028875,.0062823405056488,.0017684237371458,.0029709181719076,.0025731245798,.0010996781566304
South Korea,kr,7,5364099,.0558485247988362,.2307535684498698,.2879898194534371,.3525930867169638,.3542835170383024,.3871916233970115,.3765482329837685,.3477617819308335,.3126684761755251,.3044136386958347
South Korea,kr,8,5354237,.0106327837551618,.0383121147667003,.0629932507630934,.0683222869621765,.0921487557820003,.0806992569947488,.0805704741840149,.085474363574119,.0842310960828322,.113875833760903
South Korea,kr,9,5363518,.0142843621745737,.0316528870557132,.0331807643764415,.0238471184716319,.0308314270666179,.0285155128278186,.0308178503044034,.0171934862054108,.0256333622819948,.0190611502402164
Sweden,se,1,1023085,.2528988304979547,.3151976278783015,.1084953840398538,.0481901419958882,.0248431434061409,.0182099324235055,.0099702790171035,.012680675140687,.009359852589657,.0109268684572767
Sweden,se,2,1021870,.0877229164732158,.3528638672238152,.2405411254775342,.126020249899455,.0596878553782205,.0368974510792177,.0314365206975281,.0294269999481023,.0255689264630516,.0238464967497636
Sweden,se,3,1021131,.2898801174877942,.0999628132737041,.1348504746207881,.1086218149757665,.1424434335908396,.2042287912077158,.1824860520807135,.1507051728341749,.0951418746307895,.0750821744007759
Sweden,se,4,1021931,.0386194695455412,.0404816659653381,.0690117134824033,.0853726915026553,.1042125798988275,.109945635419674,.1311021229413302,.2193688255148893,.281406853329056,.3472702423348797
Sweden,se,5,1020040,.0459727197642425,.0410022801334808,.0651326813112128,.0746234334803426,.088362221089369,.0891295305855814,.1141512785307246,.1061974718944341,.1222844690997719,.1270232537633671
Sweden,se,6,1021805,.0887374949295513,.0337733762611682,.0760343188092419,.1444285377388493,.1288851417591467,.0447727306090692,.0213321694164529,.0288218526711181,.0157405922234002,.0174469356663842
Sweden,se,7,1021837,.1285836465200839,.0869239727166861,.2533622032824388,.3500882153491772,.3865181757578134,.4404832624620157,.4326022643533166,.3866313370327612,.3747765176262553,.3108528992500208
Sweden,se,8,1021239,.0507308776885596,.026631567616233,.0511736496100892,.052935080744199,.0640474883337908,.0531099378061372,.0755756544341221,.0642934709700668,.073435232167378,.0855818829327076
Sweden,se,9,1022452,.0168539270930568,.0031638075293335,.0013984493664378,.009717877234373,.0009989804321399,.0032237070673954,.0013426798990446,.0018761523991935,.0022847038296174,.0019692464448244
United Kingdom,uk,1,6595036,.1696356168487936,.1741540218234498,.0685206077881956,.0599926644987668,.0353729375407874,.0225801567663244,.0123781636078625,.0111830673261502,.0089008666394301,.0052208644945658
United Kingdom,uk,2,6596299,.1155268902247084,.2375671569769654,.1718017401404771,.1191363940780459,.0808777408649908,.0600864899776312,.0516451844733986,.0263169705810106,.0320598917128333,.0316397243376253
United Kingdom,uk,3,6598088,.1796287389485061,.0303523233255497,.0442578213567324,.0525902977003552,.0691579980645438,.0596664358783224,.0772669235464939,.0571899270059711,.0564963293499273,.0496466089072729
United Kingdom,uk,4,6595323,.106407910434454,.0558109934070605,.0818133980631965,.1147128048163828,.1155251841732082,.1484985009938739,.2391404757931009,.2106391753827865,.3060543664001896,.2909075603539472
United Kingdom,uk,5,6625828,.0808497482045587,.0997610933039876,.1234533398160194,.1483983422798247,.1681783771024542,.1787629795573163,.1838764478670834,.231093727729543,.2554551147438598,.2019501620855134
United Kingdom,uk,6,6558679,.1663849901653304,.1523874220983615,.0831616674406283,.059616488836104,.0387000688819571,.0155827110916695,.0144356579396346,.0211108011147738,.0055837415155148,.003879142282423
United Kingdom,uk,7,6596859,.1283754933255861,.1793228293623439,.354432829631857,.3509967593702386,.3918382728920823,.3774174647059263,.3103299615771687,.3503099289468178,.263880225051061,.3591425680897432
United Kingdom,uk,8,6595060,.0455339440148621,.0586256020231951,.0624987117480094,.0822775472861602,.0840349311814312,.1328788922281453,.1042377895298353,.0888220880477206,.06793007244726,.0474313237282434
United Kingdom,uk,9,6606323,.0076566678332006,.0120185576790864,.0100598840148843,.0122787011341219,.016314489298545,.0045263688007905,.006689395665422,.0033343138652264,.0036393921399241,.0101820457206659
United States,us,1,31640140,.2374013831797205,.0907530803111766,.0421816579054895,.0258003721921347,.0200261732284938,.0166260504827386,.0153744003192461,.0143631790789624,.0110517238670494,.0121722695465308
United States,us,2,31631301,.2427440586546077,.1375455280830845,.0834249319099872,.0537788660988281,.0406694159681219,.0446060836158318,.0372696280726937,.0342180243277906,.0423410007145247,.047130426974761
United States,us,3,31654422,.1248804524885162,.0631544684172175,.0524108764329988,.0527202814221442,.0697390312694484,.0723583453081439,.0774356317346303,.069031608982672,.0603663817514134,.0553773450983851
United States,us,4,31614854,.0775744039059246,.0726352355851566,.0835923650730378,.1115613565699212,.1344193567104864,.1502590236174386,.1815327105072282,.2063794654617684,.2228746399755678,.2571633173955643
United States,us,5,31641492,.1342460241958474,.154056831238146,.1556374019402408,.156504755644293,.1795455157424309,.1819300354048003,.1987176932359611,.210557744253543,.216338744949716,.2086259657589315
United States,us,6,31628197,.078763968806712,.1400492821967708,.1027132322934217,.0704459365841133,.0530206666613572,.0346841775394279,.0270467560166719,.0173444894027182,.0144675520349127,.0112228009056169
United States,us,7,31639543,.0542737800780907,.210349488944511,.305001241216788,.3329309697270783,.3179234089214251,.3276554778003944,.3166782465852936,.3048583258044048,.3008343623810075,.3002903639571827
United States,us,8,31635754,.0246061806300478,.0965464556769258,.1315672104200797,.1581007143034727,.1552600300896051,.1490179791152812,.1277890138931526,.120419604982388,.1130204617448583,.0937198993211035
United States,us,9,31633617,.0255097164551105,.034909629547011,.0434710512167937,.0381567790887157,.0293963382004869,.0228627954985863,.0181559196351224,.0228275577057528,.0187051325809502,.0142975794256396
