학교구분,학교코드,학교명,본분교,학제,지역,설립구분,관련법령,법인명,학교상태,학교명(한자),학교명(영문),주소,영문주소,중문주소,우편번호,학교개교일,학교홈페이지,총장명,"학교대표
번호","학교대표
팩스번호"
대학,1,강릉원주대학교,본교,대학교,강원,국립,고등교육법,해당없음,기존,国立江陵原州大学,Gangneung Wonju National University,강원특별자치도 강릉시 죽헌길 7                  ,"7 Jukheon-gil, Gangneung-si, Gangwon-do","7 Jukheon-gil, Gangneung-si, Gangwon-do",25457,1979.3.1,www.gwnu.ac.kr,반선섭,033-642-7001,033-643-7110
대학,2,강릉원주대학교,제2캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,国立江陵原州大学,Gangneung Wonju National University,강원특별자치도 원주시 흥업면 남원로 150         ,"150 Namwon-ro, Heungeop-myeon, Wonju-si, Gangwon-do","150 Namwon-ro, Heungeop-myeon, Wonju-si, Gangwon-do",26403,2007.3.1,www.gwnu.ac.kr,반선섭,033-760-8020,033-760-8029
대학,3,강원대학교,본교,대학교,강원,국립,고등교육법,해당없음,기존,江原大学校,Kangwon National University,강원특별자치도 춘천시 강원대학길 1              ,"1 Kangwondaehak-gil, Chuncheon-si, Gangwon-do","1 Kangwondaehak-gil, Chuncheon-si, Gangwon-do",24341,1970.3.1,www.kangwon.ac.kr/,김헌영,033-250-6114,033-251-9556
대학,4,강원대학교,제2캠퍼스,대학교,강원,국립,고등교육법,해당없음,기존,江原大学校,Kangwon National University,강원특별자치도 삼척시 중앙로 346                ,"346 Jungang-ro, Samcheok-si, Gangwon-do","346 Jungang-ro, Samcheok-si, Gangwon-do",25913,2006.3.1,www.kangwon.ac.kr/,김헌영,033-570-6114,033-572-8620
대학,5,경북대학교,본교,대학교,대구,국립,고등교육법,해당없음,기존,庆北大学校,Kyungpook National University,대구광역시 북구 대학로 80                       ,"80, Daehak-ro, Buk-gu, Daegu, Republic of Korea","80, Daehak-ro, Buk-gu, Daegu, Republic of Korea",41566,1946.5.28,www.knu.ac.kr,홍원화,053-950-5114,053-950-2149
대학,7,경상국립대학교,본교,대학교,경남,국립,고등교육법,해당없음,기존,慶尙國立大學校,Gyeongsang National University,경상남도 진주시 진주대로 501                    ,"501, Jinju-daero, Jinju-si, Gyeongsangnam-do, Republic of Korea","501, Jinju-daero, Jinju-si, Gyeongsangnam-do, Republic of Korea",52828,1910.4.30,www.gnu.ac.kr,권순기,055-772-1114,055-772-0359
대학,8,공주대학교,본교,대학교,충남,국립,고등교육법,해당없음,기존,公州大学校,Kongju National University,충청남도 공주시 공주대학로 56                   ,"56, Gongjudaehak-ro, Gongju-si, Chungcheongnam-do, Republic of Korea","56, Gongjudaehak-ro, Gongju-si, Chungcheongnam-do, Republic of Korea",32588,1948.7.31,www.kongju.ac.kr,원성수,041-850-8114,041-850-8019
대학,9,군산대학교,본교,대학교,전북,국립,고등교육법,해당없음,기존,群山大学校,Kunsan National University,전라북도 군산시 대학로 558                      ,"558, Daehak-ro, Gunsan-si, Jeollabuk-do, Republic of Korea","558, Daehak-ro, Gunsan-si, Jeollabuk-do, Republic of Korea",54150,1979.1.18,www.kunsan.ac.kr,이장호,063-469-4114,063-469-5334
대학,10,금오공과대학교,본교,대학교,경북,국립,고등교육법,해당없음,기존,金乌工科大学校,Kumoh National Institute Of Technology,경상북도 구미시 대학로 61                       ,"61, Daehak-ro, Gumi-si, Gyeongsangbuk-do, Republic of Korea","61, Daehak-ro, Gumi-si, Gyeongsangbuk-do, Republic of Korea",39177,1980.3.1,www.kumoh.ac.kr,곽호상,054-478-7114,054-478-7100
대학,11,목포대학교,본교,대학교,전남,국립,고등교육법,해당없음,기존,木浦大学校,Mokpo National University,전라남도 무안군 청계면 영산로 1666              ,"1666, Yeongsan-ro, Cheonggye-myeon, Muan-gun, Jeollanam-do, Republic of Korea","1666, Yeongsan-ro, Cheonggye-myeon, Muan-gun, Jeollanam-do, Republic of Korea",58554,1946.10.31,www.mokpo.ac.kr,송하철,061-450-2114,061-452-4793
대학,12,목포해양대학교,본교,대학교,전남,국립,고등교육법,해당없음,기존,木浦海洋大学校,Mokpo National Maritime University,전라남도 목포시 해양대학로 91                   ,"91, Haeyangdaehak-ro, Mokpo-si, Jeollanam-do, Republic of Korea","91, Haeyangdaehak-ro, Mokpo-si, Jeollanam-do, Republic of Korea",58628,1993.3.1,www.mmu.ac.kr,한원희,061-240-7114,061-242-5176
대학,13,부경대학교,본교,대학교,부산,국립,고등교육법,해당없음,기존,釜庆大学校,Pukyong National University,부산광역시 남구 용소로 45                       ,"45, Yongso-ro, Nam-Gu. Busan, Republic of Korea","45, Yongso-ro, Nam-Gu. Busan, Republic of Korea",48513,1996.7.6,www.pknu.ac.kr,장영수,051-629-4114,051-629-5089
대학,14,부산대학교,본교,대학교,부산,국립,고등교육법,해당없음,기존,釜山大学校,Pusan National University,부산광역시 금정구 부산대학로63번길 2            ,"2, Busandaehak-ro 63beon-gil, Geumjeong-gu, Busan, Republic of Korea","2, Busandaehak-ro 63beon-gil, Geumjeong-gu, Busan, Republic of Korea",46241,1946.5.15,www.pusan.ac.kr,차정인,051-512-0311,051-512-3368
대학,19,서울대학교,본교,대학교,서울,국립대법인,고등교육법,서울대학교 법인,기존,首尔大学,Seoul National University,서울특별시 관악구 관악로 1                      ,"1, Gwanak-ro, Gwanak-gu, Seoul, Republic of Korea","1, Gwanak-ro, Gwanak-gu, Seoul, Republic of Korea",8826,1946.8.22,www.snu.ac.kr,유홍림,02-880-5114,02-885-5272
대학,20,순천대학교,본교,대학교,전남,국립,고등교육법,해당없음,기존,顺天大学校,Sunchon National University,전라남도 순천시 중앙로 255                      ,"255, Jungang-ro, Suncheon-si, Jeollanam-do, Republic of Korea","255, Jungang-ro, Suncheon-si, Jeollanam-do, Republic of Korea",57922,1982.3.10,www.scnu.ac.kr/SCNU/main.do,이병운,061-750-3114,061-750-3117
대학,21,안동대학교,본교,대학교,경북,국립,고등교육법,해당없음,기존,安东大学校,Andong National University,경상북도 안동시 경동로 1375                     ,"1375, Gyeongdong-ro, Andong-si, Gyeongsangbuk-do, Republic of Korea","1375, Gyeongdong-ro, Andong-si, Gyeongsangbuk-do, Republic of Korea",36729,1979.3.12,www.andong.ac.kr/main/index.do,정태주,054-820-5114,054-820-7115
대학,23,전남대학교,본교,대학교,광주,국립,고등교육법,해당없음,기존,全南大学校,Chonnam National University,광주광역시 북구 용봉로 45                       ,"45, Yongbong-ro, Buk-gu, Gwangju, Republic of Korea","45, Yongbong-ro, Buk-gu, Gwangju, Republic of Korea",61186,1951.10.6,www.chonnam.ac.kr,정성택,062-530-5114,062-530-1189
대학,24,전남대학교,제2캠퍼스,대학교,전남,국립,고등교육법,해당없음,기존,全南大学校,Chonnam National University,전라남도 여수시 대학로 50                       ,"50, Daehak-ro, Yeosu-si, Jeollanam-do, Republic of Korea","50, Daehak-ro, Yeosu-si, Jeollanam-do, Republic of Korea",59626,2006.3.1,www.chonnam.ac.kr,정성택,061-659-6114,061-659-7003
대학,25,전북대학교,본교,대학교,전북,국립,고등교육법,해당없음,기존,国立全北大学,Jeonbuk National University,전라북도 전주시 덕진구 백제대로 567             ,"567, Baekje-daero, Deokjin-gu, Jeonju-si, Jeollabuk-do, Republic of Korea","567, Baekje-daero, Deokjin-gu, Jeonju-si, Jeollabuk-do, Republic of Korea",54896,1951.10.6,www.jbnu.ac.kr,양오봉,063-270-2114,063-276-0429
대학,27,제주대학교,본교,대학교,제주,국립,고등교육법,해당없음,기존,济州大学,Jeju National University,제주특별자치도 제주시 제주대학로 102            ,"102, Jejudaehak-ro, Jeju-si, Jeju-do, Republic of Korea","102, Jejudaehak-ro, Jeju-si, Jeju-do, Republic of Korea",63243,1952.5.27,www.jejunu.ac.kr,김일환,064-754-2114,064-755-8562
대학,28,창원대학교,본교,대학교,경남,국립,고등교육법,해당없음,기존,昌原大学,Changwon National University,경상남도 창원시 의창구 창원대학로 20            ,"20, Changwondaehak-ro, Uichang-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea","20, Changwondaehak-ro, Uichang-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea",51140,1969.3.21,www.changwon.ac.kr,이호영,055-213-2114,055-283-2970
대학,29,충남대학교,본교,대학교,대전,국립,고등교육법,해당없음,기존,忠南大学,Chungnam National University,대전광역시 유성구 대학로 99                     ,"99, Daehak-ro, Yuseong-gu, Daejeon, Republic of Korea","99, Daehak-ro, Yuseong-gu, Daejeon, Republic of Korea",34134,1952.5.25,www.cnu.ac.kr,이진숙,042-821-5114,042-823-5875
대학,30,충북대학교,본교,대학교,충북,국립,고등교육법,해당없음,기존,忠北大学,Chungbuk National University,충청북도 청주시 서원구 충대로 1                 ,"1, Chungdae-ro, Seowon-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea","1, Chungdae-ro, Seowon-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea",28644,1951.9.27,www.chungbuk.ac.kr,고창섭,043-261-2114,043-261-3333
대학,31,한국교원대학교,본교,대학교,충북,국립,고등교육법,해당없음,기존,国立韩国教员大学,Korea National University Of Education,충청북도 청주시 흥덕구 강내면 태성탑연로 250    ,"250, Taeseongtabyeon-ro, Gangnae-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea","250, Taeseongtabyeon-ro, Gangnae-myeon, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do, Republic of Korea",28173,1984.3.15,www.knue.ac.kr,김종우,043-230-3114,043-233-2960
대학,32,한국체육대학교,본교,대학교,서울,국립,고등교육법,해당없음,기존,韩国体育大学,Korea National Sport University,서울특별시 송파구 양재대로 1239                 ,"1239, Yangjae-daero, Songpa-gu, Seoul, Republic of Korea","1239, Yangjae-daero, Songpa-gu, Seoul, Republic of Korea",5541,1976.12.30,www.knsu.ac.kr/,안용규,02-410-6700,02-418-1877
대학,33,한국해양대학교,본교,대학교,부산,국립,고등교육법,해당없음,기존,韩国海洋大学,National Korea Maritime & Ocean University,부산광역시 영도구 태종로 727                    ,"727, Taejong-ro, Yeongdo-gu, Busan, Republic of Korea","727, Taejong-ro, Yeongdo-gu, Busan, Republic of Korea",49112,1945.11.5,www.kmou.ac.kr,도덕희,051-410-4114,051-405-2475
대학,34,한국교통대학교,본교,대학교,충북,국립,고등교육법,해당없음,기존,韩国交通大学校,Korea National University Of Transportation,충청북도 충주시 대소원면 대학로 50              ,"50, Daehak-ro, Daesowon-myeon, Chungju-si, Chungcheongbuk-do, Republic of Korea","50, Daehak-ro, Daesowon-myeon, Chungju-si, Chungcheongbuk-do, Republic of Korea",27469,1914.4.1,www.ut.ac.kr,윤승조,043-841-5002,043-853-1236
대학,35,경남과학기술대학교,본교,대학교,경남,국립,고등교육법,해당없음,폐교,庆南科学技术大学校,Gyeongnam National University Of Science And Technology,경상남도 진주시 동진로 33                       ,"33, Dongjin-ro, Jinju-si, Gyeongsangnam-do, Republic of Korea","33, Dongjin-ro, Jinju-si, Gyeongsangnam-do, Republic of Korea",52725,1910.4.30,www.gntech.ac.kr,김남경,055-751-3114,055-752-9554
대학,36,서울과학기술대학교,본교,대학교,서울,국립,고등교육법,해당없음,기존,首尔科学技术大学,Seoul National University Of Science And Technology,서울특별시 노원구 공릉로 232                    ,"232, Gongneung-ro, Nowon-gu, Seoul, Republic of Korea","232, Gongneung-ro, Nowon-gu, Seoul, Republic of Korea",1811,2012.3.1,www.seoultech.ac.kr,이동훈,02-970-6114,02-970-6088
대학,37,한경국립대학교,본교,대학교,경기,국립,고등교육법,해당없음,기존,韩京國立大学校,Hankyong National University,경기도 안성시 중앙로 327                        ,"327, Jungang-ro, Anseong-si, Gyeonggi-do, Republic of Korea","327, Jungang-ro, Anseong-si, Gyeonggi-do, Republic of Korea",17579,1939.4.15,www.hknu.ac.kr,이원희,031-670-5114,031-670-5469
대학,39,한밭대학교,본교,대학교,대전,국립,고등교육법,해당없음,기존,韩巴大学,Hanbat National University,대전광역시 유성구 동서대로 125                  ,"125, Dongseo-daero, Yuseong-gu, Daejeon, Republic of Korea","125, Dongseo-daero, Yuseong-gu, Daejeon, Republic of Korea",34158,2012.3.1,www.hanbat.ac.kr,오용준,042-821-1114,042-825-5395
대학,40,서울시립대학교,본교,대학교,서울,공립,고등교육법,해당없음,기존,首尔市立大学校,University Of Seoul,서울특별시 동대문구 서울시립대로 163            ,"163, Seoulsiripdae-ro, Dongdaemun-gu, Seoul, Republic of Korea","163, Seoulsiripdae-ro, Dongdaemun-gu, Seoul, Republic of Korea",2504,1918.5.1,www.uos.ac.kr,서순탁,02-6490-6114,02-6490-6439
대학,46,가톨릭대학교,본교,대학교,경기,사립,고등교육법,가톨릭학원,기존,加图立大学校,The Catholic University Of Korea,경기도 부천시 원미구 지봉로 43                  ,"43, Jibong-ro, Bucheon-si, Gyeonggi-do, Republic of Korea","43, Jibong-ro, Bucheon-si, Gyeonggi-do, Republic of Korea",14662,1995.3.1,www.catholic.ac.kr,원종철,02-2164-4114,02-2164-4754
대학,48,가톨릭대학교,제2캠퍼스,대학교,서울,사립,고등교육법,가톨릭학원,기존,加图立大学校,The Catholic University Of Korea,서울특별시 서초구 반포대로 222                  ,"222, Banpo-daero, Seocho-gu, Seoul, Republic of Korea","222, Banpo-daero, Seocho-gu, Seoul, Republic of Korea",6591,1995.3.1,www.catholic.ac.kr,원종철,02-2258-7114,02-533-4362
대학,49,가톨릭대학교,제3캠퍼스,대학교,서울,사립,고등교육법,가톨릭학원,기존,加图立大学校,The Catholic University Of Korea,서울특별시 종로구 창경궁로 296-12               ,"296-12, Changgyeonggung-ro, Jongno-gu, Seoul, Republic of Korea","296-12, Changgyeonggung-ro, Jongno-gu, Seoul, Republic of Korea",3083,1995.3.1,www.catholic.ac.kr,원종철,02-740-9705,02-741-2801
대학,50,감리교신학대학교,본교,대학교,서울,사립,고등교육법,감리교신학원,기존,监理教神学大学,Methodist Theological University,서울특별시 서대문구 독립문로 56                 ,"56, Dongnimmun-ro, Seodaemun-gu, Seoul, Republic of Korea","56, Dongnimmun-ro, Seodaemun-gu, Seoul, Republic of Korea",3745,1887-09-29,www.mtu.ac.kr,이후정,02-361-9257,02-361-9006
대학,51,강남대학교,본교,대학교,경기,사립,고등교육법,강남학원,기존,江南大学校,Kangnam University,경기도 용인시 기흥구 강남로 40                  ,"40, Gangnam-ro, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea","40, Gangnam-ro, Giheung-gu, Yongin-si, Gyeonggi-do, Republic of Korea",16979,1948.8.12,www.kangnam.ac.kr,윤신일,031-280-3500,031-280-3173
대학,52,건국대학교,본교,대학교,서울,사립,고등교육법,건국대학교,기존,建国大学,Konkuk University,서울특별시 광진구 능동로 120                    ,"120, Neungdong-ro, Gwangjin-gu, Seoul, Republic of Korea","120, Neungdong-ro, Gwangjin-gu, Seoul, Republic of Korea",5029,1931.5.15,www.konkuk.ac.kr,전영재,02-450-3114,02-450-3179
대학,53,건국대학교(글로컬),분교,대학교,충북,사립,고등교육법,건국대학교,기존,建国大学,Konkuk University,충청북도 충주시 충원대로 268                    ,"268, Chungwon-daero, Chungju-si, Chungcheongbuk-do, Republic of Korea","268, Chungwon-daero, Chungju-si, Chungcheongbuk-do, Republic of Korea",27478,1980.1.5,www.kku.ac.kr,전영재,043-840-3114,043-851-9356
대학,54,건양대학교,본교,대학교,충남,사립,고등교육법,학교법인 건양교육재단,기존,建阳大学校,Konyang University,충청남도 논산시 대학로 121                      ,"121, Daehak-ro, Nonsan-si, Chungcheongnam-do, Republic of Korea","121, Daehak-ro, Nonsan-si, Chungcheongnam-do, Republic of Korea",32992,1990.11.28,www.konyang.ac.kr,김용하,041-730-5114,041-733-2070
대학,55,건양대학교,제2캠퍼스,대학교,대전,사립,고등교육법,학교법인 건양교육재단,기존,建阳大学校,Konyang University,대전광역시 서구 관저동로 158                    ,"158, Gwanjeodong-ro, Seo-gu, Daejeon, Republic of Korea","158, Gwanjeodong-ro, Seo-gu, Daejeon, Republic of Korea",35365,1990.11.28,www.konyang.ac.kr,김용하,041-730-5114,041-733-2070
대학,56,경기대학교,본교,대학교,경기,사립,고등교육법,경기학원,기존,京畿大学校,Kyonggi University,경기도 수원시 영통구 광교산로 154-42            ,"154-42, Gwanggyosan-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea","154-42, Gwanggyosan-ro, Yeongtong-gu, Suwon-si, Gyeonggi-do, Republic of Korea",16227,1947.11.8,www.kyonggi.ac.kr,이윤규,031-249-9114,031-243-2194
대학,58,경기대학교,제2캠퍼스,대학교,서울,사립,고등교육법,경기학원,기존,京畿大学校,Kyonggi University,서울특별시 서대문구 경기대로9길 24              ,"24, Kyonggidae-ro 9-gil, Seodaemun-gu, Seoul, Republic of Korea","24, Kyonggidae-ro 9-gil, Seodaemun-gu, Seoul, Republic of Korea",3746,1947.11.8,www.kyonggi.ac.kr,김인규,031-249-8711,031-249-8718
대학,59,경남대학교,본교,대학교,경남,사립,고등교육법,한마학원,기존,庆南大学校,Kyungnam University,경상남도 창원시 마산합포구 경남대학로 7         ,"7, Gyeongnamdaehak-ro, Masanhappo-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea","7, Gyeongnamdaehak-ro, Masanhappo-gu, Changwon-si, Gyeongsangnam-do, Republic of Korea",51767,1946.12.27,www.kyungnam.ac.kr,박재규,055-245-5000,055-246-6184
대학,60,경동대학교,본교,대학교,강원,사립,고등교육법,경동대학교,기존,京东大学校,Kyungdong University,강원특별자치도 고성군 토성면 봉포4길 46         ,"46 Bongpo 4-gil, Toseong-myeon, Goseong-gun, Gangwon-do","46 Bongpo 4-gil, Toseong-myeon, Goseong-gun, Gangwon-do",24764,1997.3.1,www.kduniv.ac.kr,전성용,033-631-2000,033-631-9542
대학,61,대구한의대학교,본교,대학교,경북,사립,고등교육법,제한학원,기존,大邱韩医大学,Daegu Haany University,경상북도 경산시 한의대로 1                      ,"1 Hanuidae-ro, Gyeongsan-si, Gyeongsangbuk-do","1 Hanuidae-ro, Gyeongsan-si, Gyeongsangbuk-do",38610,1980.12.29,www.dhu.ac.kr,변창훈,053-819-1000,053-819-1258
대학,62,경성대학교,본교,대학교,부산,사립,고등교육법,한성(韓星)학원,기존,庆星大学校,Kyungsung University,부산광역시 남구 수영로 309                      ,"309, Suyeong-ro, Nam-gu, Busan, Republic of Korea","309, Suyeong-ro, Nam-gu, Busan, Republic of Korea",48434,1963.1.28,ks.ac.kr,이종근,051-663-4114,051-663-4089
대학,63,가천대학교,본교,대학교,경기,사립,고등교육법,가천학원,기존,嘉泉大学校,Gachon University,경기도 성남시 수정구 성남대로 1342              ,"1342, Seongnam-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea","1342, Seongnam-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do, Republic of Korea",13120,2012.3.1,www.gachon.ac.kr,이길여,031-750-5114,031-753-8828
대학,64,경일대학교,본교,대학교,경북,사립,고등교육법,일청학원,기존,庆一大学,Kyungil University,경상북도 경산시 하양읍 가마실길 50              ,"50, Gamasil-gil, Hayang-eup, Gyeongsan-si, Gyeongsangbuk-do, Republic of Korea","50, Gamasil-gil, Hayang-eup, Gyeongsan-si, Gyeongsangbuk-do, Republic of Korea",38428,1996.12.11,www.kiu.ac.kr,정현태,053-600-4000,053-600-4020
대학,65,경주대학교,본교,대학교,경북,사립,고등교육법,원석학원,기존,庆州大学校,Gyeongju University,경상북도 경주시 태종로 188                      ,"188, Taejong-ro, Gyeongju-si, Gyeongsangbuk-do, Republic of Korea","188, Taejong-ro, Gyeongju-si, Gyeongsangbuk-do, Republic of Korea",38065,1987.12.12,www.gju.ac.kr,김일윤,054-770-5114,054-748-2784
대학,66,경희대학교,본교,대학교,서울,사립,고등교육법,경희학원,기존,庆熙大学校,Kyung Hee University,서울특별시 동대문구 경희대로 26                 ,"26, Kyungheedae-ro, Dongdaemun-gu, Seoul, Republic of Korea","26, Kyungheedae-ro, Dongdaemun-gu, Seoul, Republic of Korea",2447,1951.5.18,www.khu.ac.kr,한균태,02-961-0114,02-961-0930
대학,68,계명대학교,본교,대학교,대구,사립,고등교육법,계명대학교,기존,启明大学,Keimyung University,대구광역시 달서구 달구벌대로 1095               ,"1095, Dalgubeol-daero, Dalseo-gu, Daegu, Republic of Korea","1095, Dalgubeol-daero, Dalseo-gu, Daegu, Republic of Korea",42601,1954.5.20,www.kmu.ac.kr,신일희,053-580-5114,053-580-5454
대학,69,고려대학교,본교,대학교,서울,사립,고등교육법,고려중앙학원,기존,高丽大学,Korea University,서울특별시 성북구 안암로 145                    ,"145, Anam-ro, Seongbuk-gu, Seoul, Republic of Korea","145, Anam-ro, Seongbuk-gu, Seoul, Republic of Korea",2841,1905.5.5,www.korea.ac.kr,김동원,02-3290-1114,02-928-9102
대학,70,고려대학교(세종),분교,대학교,세종,사립,고등교육법,고려중앙학원,기존,高丽大学 世宗校区,Korea University Sejong Campus,세종특별자치시 조치원읍 세종로 2511             ,"2511, Sejong-ro, Jochiwon-eup, Sejong-si, Republic of Korea","2511, Sejong-ro, Jochiwon-eup, Sejong-si, Republic of Korea",30019,1980.3.2,sejong.korea.ac.kr,김동원,044-860-1114,044-860-1048
대학,71,고신대학교,본교,대학교,부산,사립,고등교육법,대한예수교장로회총회고려학원,기존,高神大学,Kosin University,부산광역시 영도구 와치로 194                    ,"194, Wachi-ro, Yeongdo-gu, Busan, Republic of Korea","194, Wachi-ro, Yeongdo-gu, Busan, Republic of Korea",49104,1946.9.20,www.kosin.ac.kr,손수경(직무대행),051-990-2114,051-911-2525
대학,72,가톨릭관동대학교,본교,대학교,강원,사립,고등교육법,인천가톨릭학원,기존,加图立关东大学,Catholic Kwandong University,강원특별자치도 강릉시 범일로579번길 24          ,"24 Beomil-ro 579beon-gil, Gangneung-si, Gangwon-do","24 Beomil-ro 579beon-gil, Gangneung-si, Gangwon-do",25601,1955.4.26,www.cku.ac.kr,김용승,033-649-7114,033-649-7874
대학,73,광신대학교,본교,대학교,광주,사립,고등교육법,광신학원,기존,光神大学校,Kwangshin University,광주광역시 북구 양산택지소로 36                 ,"36, Yangsantaekjiso-ro, Buk-gu, Gwangju, Republic of Korea","36, Yangsantaekjiso-ro, Buk-gu, Gwangju, Republic of Korea",61027,1996.12.11,www.kwangshin.ac.kr,김경윤,062-605-1004,062-571-7255
대학,74,광운대학교,본교,대학교,서울,사립,고등교육법,광운학원,기존,光云大学,Kwangwoon University,서울특별시 노원구 광운로 20                     ,"20, Gwangun-ro, Nowon-gu, Seoul, Republic of Korea","20, Gwangun-ro, Nowon-gu, Seoul, Republic of Korea",1897,1934.5.20,www.kw.ac.kr,김종헌,02-940-5026,02-917-0896
대학,75,광주가톨릭대학교,본교,대학교,전남,사립,고등교육법,대건학당,기존,光州天主教大学 ,Gwangju Catholic University,전라남도 나주시 남평읍 중남길 12-25             ,"12-25, Jungnam-gil, Nampyeong-eup, Naju-si, Jeollanam-do, Republic of Korea","12-25, Jungnam-gil, Nampyeong-eup, Naju-si, Jeollanam-do, Republic of Korea",58230,1965.1.13,www.gjcatholic.ac.kr,김정용,061-337-2181,061-337-2185
대학,76,광주여자대학교,본교,대학교,광주,사립,고등교육법,송강학원,기존,光州女子大学,Kwangju Women'S University,광주광역시 광산구 광주여대길 40                 ,"40, Gwangjuyeodae-gil, Gwangsan-gu, Gwangju","40, Gwangjuyeodae-gil, Gwangsan-gu, Gwangju",62396,1997.3.3,www.kwu.ac.kr,이선재,062-956-2500,062-953-2218
대학,78,국민대학교,본교,대학교,서울,사립,고등교육법,국민학원,기존,国民大学,Kookmin University,서울특별시 성북구 정릉로 77                     ,"77, Jeongneung-ro, Seongbuk-gu, Seoul, Republic of Korea","77, Jeongneung-ro, Seongbuk-gu, Seoul, Republic of Korea",2707,1946.9.1,www.kookmin.ac.kr,정승렬,02-910-4114,02-910-4169
대학,79,강서대학교,본교,대학교,서울,사립,고등교육법,한국그리스도의교회학원,기존, 江西大學校,GANGSEO UNIVERSITY,서울특별시 강서구 까치산로24길 47               ,"47, Kkachisan-ro 24-gil, Gangseo-gu, Seoul, Republic of Korea","47, Kkachisan-ro 24-gil, Gangseo-gu, Seoul, Republic of Korea",7661,1958.4.19,gangseo.ac.kr,김용재,02-2600-2400,02-2698-8876
대학,80,극동대학교,본교,대학교,충북,사립,고등교육법,일현학원,기존,极东大学校,Far East University,충청북도 음성군 감곡면 대학길 76-32             ,"76-32, Daehak-gil, Gamgok-myeon, Eumseong-gun, Chungcheongbuk-do, Republic of Korea","76-32, Daehak-gil, Gamgok-myeon, Eumseong-gun, Chungcheongbuk-do, Republic of Korea",27601,1997.12.5,www.kdu.ac.kr,류기일,043-879-3500,043-879-3519
대학,81,나사렛대학교,본교,대학교,충남,사립,고등교육법,나사렛학원,기존,拿撒勒大学,Korea Nazarene University,충청남도 천안시 서북구 월봉로 48                ,"48, Wolbong-ro, Seobuk-gu, Cheonan-si, Chungcheongnam-do, Republic of Korea","48, Wolbong-ro, Seobuk-gu, Cheonan-si, Chungcheongnam-do, Republic of Korea",31172,1954.9.14,www.kornu.ac.kr,KIM DAVID KYUNGSOO,041-570-7794,041-570-7725
